Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-28,Programmatic,DV360,Profound intangible policy,04-04,11237.07,29,3,0,30
2022-01-28,Programmatic,DV360,Centralized modular throughput,05-04,47767.29,118,12,1,125
2022-01-28,Programmatic,DV360,Automated uniform software,06-04,27135.16,65,7,1,69
2022-01-28,Programmatic,DV360,Cross-platform static hierarchy,07-04,48023.61,117,12,1,123
2022-01-28,Programmatic,DV360,Networked value-added time-frame,08-04,50528.07,126,13,1,135
2022-02-04,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,114138.64,275,30,3,290
2022-02-04,Programmatic,DV360,Persistent 24/7 attitude,02-04,2141.92,5,1,0,5
2022-02-04,Programmatic,DV360,Integrated dedicated contingency,03-04,27055.89,70,7,1,73
2022-02-04,Programmatic,DV360,Profound intangible policy,04-04,8289.01,21,2,0,22
2022-02-04,Programmatic,DV360,Centralized modular throughput,05-04,34218.27,85,9,1,89
2022-02-04,Programmatic,DV360,Automated uniform software,06-04,19560.66,50,5,1,53
2022-02-04,Programmatic,DV360,Cross-platform static hierarchy,07-04,33910.96,80,8,1,83
2022-02-04,Programmatic,DV360,Networked value-added time-frame,08-04,37396.7,92,10,1,97
2022-02-11,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,110399.82,267,28,3,277
2022-02-11,Programmatic,DV360,Persistent 24/7 attitude,02-04,2141.5,5,1,0,5
2022-02-11,Programmatic,DV360,Integrated dedicated contingency,03-04,26729.73,64,7,1,67
2022-02-11,Programmatic,DV360,Profound intangible policy,04-04,8160.77,21,2,0,22
2022-02-11,Programmatic,DV360,Centralized modular throughput,05-04,33990.62,82,9,1,87
2022-02-11,Programmatic,DV360,Automated uniform software,06-04,19240.84,50,5,1,53
2022-02-11,Programmatic,DV360,Cross-platform static hierarchy,07-04,33936.6,83,9,1,87
2022-02-11,Programmatic,DV360,Networked value-added time-frame,08-04,37173.98,90,9,1,94
2022-02-18,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,164798.08,400,41,4,420
2022-02-18,Programmatic,DV360,Persistent 24/7 attitude,02-04,3138.56,8,1,0,8
2022-02-18,Programmatic,DV360,Integrated dedicated contingency,03-04,40648.61,101,11,1,105
2022-02-18,Programmatic,DV360,Profound intangible policy,04-04,12344.9,31,3,0,32
2022-02-18,Programmatic,DV360,Centralized modular throughput,05-04,50104.61,124,13,1,128
2022-02-18,Programmatic,DV360,Automated uniform software,06-04,28827.22,73,8,1,77
2022-02-18,Programmatic,DV360,Cross-platform static hierarchy,07-04,51098.66,131,14,1,140
2022-02-18,Programmatic,DV360,Networked value-added time-frame,08-04,55406.63,140,15,1,150
2022-02-25,Programmatic,DV360,Business-focused zero tolerance architecture,01-04,171185.27,436,46,4,457
2022-02-25,Programmatic,DV360,Persistent 24/7 attitude,02-04,3230.76,8,1,0,8
2022-02-25,Programmatic,DV360,Integrated dedicated contingency,03-04,39210.8,98,10,1,104
2022-02-25,Programmatic,DV360,Profound intangible policy,04-04,12227.09,30,3,0,32
2022-02-25,Programmatic,DV360,Centralized modular throughput,05-04,51162.91,125,13,1,133
2022-02-25,Programmatic,DV360,Automated uniform software,06-04,28711.1,69,7,1,71
2022-02-25,Programmatic,DV360,Cross-platform static hierarchy,07-04,52283.53,130,14,1,139
2022-02-25,Programmatic,DV360,Networked value-added time-frame,08-04,56565.57,141,15,2,148
2022-03-04,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,275409.92,684,72,7,708
2022-03-04,Programmatic,DV360,Persistent 24/7 attitude,02-01,5112.57,13,1,0,13
2022-03-04,Programmatic,DV360,Integrated dedicated contingency,03-01,66167.63,167,17,2,173
2022-03-04,Programmatic,DV360,Profound intangible policy,04-01,20243.57,50,5,0,53
2022-03-04,Programmatic,DV360,Centralized modular throughput,05-01,83237.13,206,21,2,217
2022-03-04,Programmatic,DV360,Automated uniform software,06-01,47061.92,119,12,1,128
2022-03-04,Programmatic,DV360,Cross-platform static hierarchy,07-01,85600.73,215,22,2,229
2022-03-04,Programmatic,DV360,Networked value-added time-frame,08-01,90585.88,221,23,2,231
2022-03-11,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,182709.97,468,48,5,485
2022-03-11,Programmatic,DV360,Persistent 24/7 attitude,02-01,3502.59,9,1,0,9
2022-03-11,Programmatic,DV360,Integrated dedicated contingency,03-01,42819.18,109,11,1,117
2022-03-11,Programmatic,DV360,Profound intangible policy,04-01,13705.03,33,3,0,35
2022-03-11,Programmatic,DV360,Centralized modular throughput,05-01,55058.25,134,14,1,140
2022-03-11,Programmatic,DV360,Automated uniform software,06-01,31467.2,80,8,1,83
2022-03-11,Programmatic,DV360,Cross-platform static hierarchy,07-01,54935.62,142,15,1,147
2022-03-11,Programmatic,DV360,Networked value-added time-frame,08-01,61251.44,147,16,2,155
2022-03-18,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,185075.56,477,51,5,494
2022-03-18,Programmatic,DV360,Persistent 24/7 attitude,02-01,3486.42,8,1,0,9
2022-03-18,Programmatic,DV360,Integrated dedicated contingency,03-01,42669.4,107,11,1,112
2022-03-18,Programmatic,DV360,Profound intangible policy,04-01,13504.39,34,4,0,36
2022-03-18,Programmatic,DV360,Centralized modular throughput,05-01,54337.06,133,14,1,138
2022-03-18,Programmatic,DV360,Automated uniform software,06-01,31709.31,78,8,1,82
2022-03-18,Programmatic,DV360,Cross-platform static hierarchy,07-01,55327.92,142,15,2,150
2022-03-18,Programmatic,DV360,Networked value-added time-frame,08-01,60893.98,148,15,2,154
2022-03-25,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,180615.55,460,48,5,474
2022-03-25,Programmatic,DV360,Persistent 24/7 attitude,02-01,3492.89,9,1,0,9
2022-03-25,Programmatic,DV360,Integrated dedicated contingency,03-01,43287.42,105,11,1,110
2022-03-25,Programmatic,DV360,Profound intangible policy,04-01,13455.24,33,3,0,34
2022-03-25,Programmatic,DV360,Centralized modular throughput,05-01,55874.93,135,14,1,144
2022-03-25,Programmatic,DV360,Automated uniform software,06-01,31759.26,79,8,1,83
2022-03-25,Programmatic,DV360,Cross-platform static hierarchy,07-01,56412.53,139,15,1,146
2022-03-25,Programmatic,DV360,Networked value-added time-frame,08-01,61444.71,153,16,2,159
2022-04-01,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,227912.34,579,61,6,616
2022-04-01,Programmatic,DV360,Persistent 24/7 attitude,02-01,4289.11,11,1,0,11
2022-04-01,Programmatic,DV360,Integrated dedicated contingency,03-01,55175.11,131,14,1,137
2022-04-01,Programmatic,DV360,Profound intangible policy,04-01,17342.78,42,4,0,45
2022-04-01,Programmatic,DV360,Centralized modular throughput,05-01,70868.77,176,19,2,187
2022-04-01,Programmatic,DV360,Automated uniform software,06-01,40833.2,101,11,1,106
2022-04-01,Programmatic,DV360,Cross-platform static hierarchy,07-01,72294.62,187,20,2,195
2022-04-01,Programmatic,DV360,Networked value-added time-frame,08-01,75872.39,191,20,2,197
2022-04-08,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,227731.71,581,61,6,600
2022-04-08,Programmatic,DV360,Persistent 24/7 attitude,02-01,4340.09,11,1,0,11
2022-04-08,Programmatic,DV360,Integrated dedicated contingency,03-01,55058.15,137,14,1,142
2022-04-08,Programmatic,DV360,Profound intangible policy,04-01,17164.33,41,4,0,42
2022-04-08,Programmatic,DV360,Centralized modular throughput,05-01,69181.5,171,18,2,182
2022-04-08,Programmatic,DV360,Automated uniform software,06-01,40595.29,99,10,1,103
2022-04-08,Programmatic,DV360,Cross-platform static hierarchy,07-01,71992.94,176,18,2,182
2022-04-08,Programmatic,DV360,Networked value-added time-frame,08-01,78025.84,193,20,2,206
2022-04-15,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,226564.63,548,58,6,573
2022-04-15,Programmatic,DV360,Persistent 24/7 attitude,02-01,4323.07,11,1,0,11
2022-04-15,Programmatic,DV360,Integrated dedicated contingency,03-01,54703.42,134,14,1,142
2022-04-15,Programmatic,DV360,Profound intangible policy,04-01,17074.62,42,4,0,44
2022-04-15,Programmatic,DV360,Centralized modular throughput,05-01,70619.31,171,18,2,182
2022-04-15,Programmatic,DV360,Automated uniform software,06-01,40925.57,98,10,1,103
2022-04-15,Programmatic,DV360,Cross-platform static hierarchy,07-01,70595.96,176,18,2,184
2022-04-15,Programmatic,DV360,Networked value-added time-frame,08-01,77199.11,193,20,2,201
2022-04-22,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,155470.73,370,39,4,391
2022-04-22,Programmatic,DV360,Persistent 24/7 attitude,02-01,2957.44,7,1,0,8
2022-04-22,Programmatic,DV360,Integrated dedicated contingency,03-01,37234.8,95,10,1,99
2022-04-22,Programmatic,DV360,Profound intangible policy,04-01,11576.12,28,3,0,30
2022-04-22,Programmatic,DV360,Centralized modular throughput,05-01,47216.05,117,12,1,120
2022-04-22,Programmatic,DV360,Automated uniform software,06-01,26963.66,69,7,1,71
2022-04-22,Programmatic,DV360,Cross-platform static hierarchy,07-01,47916.48,121,13,1,127
2022-04-22,Programmatic,DV360,Networked value-added time-frame,08-01,50430.74,127,13,1,136
2022-04-29,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,155258.67,374,39,4,392
2022-04-29,Programmatic,DV360,Persistent 24/7 attitude,02-01,2901.55,7,1,0,8
2022-04-29,Programmatic,DV360,Integrated dedicated contingency,03-01,36726.12,89,9,1,92
2022-04-29,Programmatic,DV360,Profound intangible policy,04-01,11244.29,27,3,0,29
2022-04-29,Programmatic,DV360,Centralized modular throughput,05-01,46027.09,114,12,1,120
2022-04-29,Programmatic,DV360,Automated uniform software,06-01,26563.74,63,7,1,65
2022-04-29,Programmatic,DV360,Cross-platform static hierarchy,07-01,47209.97,119,12,1,125
2022-04-29,Programmatic,DV360,Networked value-added time-frame,08-01,51332.16,126,13,1,134
2022-05-06,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,110858.21,282,29,3,301
2022-05-06,Programmatic,DV360,Persistent 24/7 attitude,02-01,2117.47,5,1,0,6
2022-05-06,Programmatic,DV360,Integrated dedicated contingency,03-01,26333.41,66,7,1,68
2022-05-06,Programmatic,DV360,Profound intangible policy,04-01,8326.32,20,2,0,21
2022-05-06,Programmatic,DV360,Centralized modular throughput,05-01,33937.73,86,9,1,92
2022-05-06,Programmatic,DV360,Automated uniform software,06-01,19862.38,49,5,1,51
2022-05-06,Programmatic,DV360,Cross-platform static hierarchy,07-01,34090.46,85,9,1,90
2022-05-06,Programmatic,DV360,Networked value-added time-frame,08-01,37365.41,92,10,1,98
2022-05-13,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,170868.55,424,45,4,446
2022-05-13,Programmatic,DV360,Persistent 24/7 attitude,02-01,3135.85,8,1,0,8
2022-05-13,Programmatic,DV360,Integrated dedicated contingency,03-01,40129.69,98,10,1,104
2022-05-13,Programmatic,DV360,Profound intangible policy,04-01,12399.62,30,3,0,32
2022-05-13,Programmatic,DV360,Centralized modular throughput,05-01,51110.87,125,13,1,132
2022-05-13,Programmatic,DV360,Automated uniform software,06-01,29040.07,73,8,1,77
2022-05-13,Programmatic,DV360,Cross-platform static hierarchy,07-01,51119.76,125,13,1,133
2022-05-13,Programmatic,DV360,Networked value-added time-frame,08-01,55837.49,144,15,2,150
2022-05-20,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,169448.07,407,43,4,426
2022-05-20,Programmatic,DV360,Persistent 24/7 attitude,02-01,3198.29,8,1,0,8
2022-05-20,Programmatic,DV360,Integrated dedicated contingency,03-01,40524.58,97,10,1,102
2022-05-20,Programmatic,DV360,Profound intangible policy,04-01,12345.24,30,3,0,32
2022-05-20,Programmatic,DV360,Centralized modular throughput,05-01,51802.64,122,13,1,129
2022-05-20,Programmatic,DV360,Automated uniform software,06-01,29468.79,73,8,1,76
2022-05-20,Programmatic,DV360,Cross-platform static hierarchy,07-01,51796.11,126,13,1,131
2022-05-20,Programmatic,DV360,Networked value-added time-frame,08-01,56646.91,138,15,1,147
2022-05-27,Programmatic,DV360,Business-focused zero tolerance architecture,01-01,169374.46,402,43,4,430
2022-05-27,Programmatic,DV360,Persistent 24/7 attitude,02-01,3228.98,8,1,0,8
2022-05-27,Programmatic,DV360,Integrated dedicated contingency,03-01,40174.04,102,11,1,109
2022-05-27,Programmatic,DV360,Profound intangible policy,04-01,12479.0,29,3,0,31
2022-05-27,Programmatic,DV360,Centralized modular throughput,05-01,52050.62,130,14,1,134
2022-05-27,Programmatic,DV360,Automated uniform software,06-01,29433.86,73,8,1,75
2022-05-27,Programmatic,DV360,Cross-platform static hierarchy,07-01,52605.92,129,13,1,133
2022-05-27,Programmatic,DV360,Networked value-added time-frame,08-01,55437.52,138,15,1,144
2022-06-03,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,184845.77,453,48,5,478
2022-06-03,Programmatic,DV360,Persistent 24/7 attitude,02-02,3398.11,8,1,0,9
2022-06-03,Programmatic,DV360,Integrated dedicated contingency,03-02,43092.57,106,11,1,112
2022-06-03,Programmatic,DV360,Profound intangible policy,04-02,13644.76,33,4,0,35
2022-06-03,Programmatic,DV360,Centralized modular throughput,05-02,54530.5,141,15,2,148
2022-06-03,Programmatic,DV360,Automated uniform software,06-02,31776.85,80,8,1,83
2022-06-03,Programmatic,DV360,Cross-platform static hierarchy,07-02,55741.8,132,14,1,141
2022-06-03,Programmatic,DV360,Networked value-added time-frame,08-02,59419.6,147,15,1,156
2022-06-10,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,181572.06,433,46,5,453
2022-06-10,Programmatic,DV360,Persistent 24/7 attitude,02-02,3447.33,9,1,0,9
2022-06-10,Programmatic,DV360,Integrated dedicated contingency,03-02,42807.53,105,11,1,112
2022-06-10,Programmatic,DV360,Profound intangible policy,04-02,13600.8,34,4,0,36
2022-06-10,Programmatic,DV360,Centralized modular throughput,05-02,55796.2,142,15,2,149
2022-06-10,Programmatic,DV360,Automated uniform software,06-02,31782.67,80,8,1,82
2022-06-10,Programmatic,DV360,Cross-platform static hierarchy,07-02,55758.2,140,15,1,145
2022-06-10,Programmatic,DV360,Networked value-added time-frame,08-02,61167.37,148,16,2,156
2022-06-17,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,183354.35,461,49,5,492
2022-06-17,Programmatic,DV360,Persistent 24/7 attitude,02-02,3485.73,8,1,0,9
2022-06-17,Programmatic,DV360,Integrated dedicated contingency,03-02,43989.08,105,11,1,109
2022-06-17,Programmatic,DV360,Profound intangible policy,04-02,13304.96,34,4,0,36
2022-06-17,Programmatic,DV360,Centralized modular throughput,05-02,55829.39,142,15,1,149
2022-06-17,Programmatic,DV360,Automated uniform software,06-02,31991.89,78,8,1,83
2022-06-17,Programmatic,DV360,Cross-platform static hierarchy,07-02,56996.45,138,14,1,147
2022-06-17,Programmatic,DV360,Networked value-added time-frame,08-02,60787.97,151,16,1,158
2022-06-24,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,267489.61,676,72,7,715
2022-06-24,Programmatic,DV360,Persistent 24/7 attitude,02-02,5070.88,13,1,0,14
2022-06-24,Programmatic,DV360,Integrated dedicated contingency,03-02,64960.31,158,17,2,163
2022-06-24,Programmatic,DV360,Profound intangible policy,04-02,20328.7,51,5,1,54
2022-06-24,Programmatic,DV360,Centralized modular throughput,05-02,83700.05,206,22,2,220
2022-06-24,Programmatic,DV360,Automated uniform software,06-02,46998.88,126,13,1,133
2022-06-24,Programmatic,DV360,Cross-platform static hierarchy,07-02,84582.71,208,22,2,216
2022-06-24,Programmatic,DV360,Networked value-added time-frame,08-02,91411.49,233,25,2,243
2022-07-01,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,233912.71,584,61,6,612
2022-07-01,Programmatic,DV360,Persistent 24/7 attitude,02-02,4401.88,11,1,0,11
2022-07-01,Programmatic,DV360,Integrated dedicated contingency,03-02,54988.46,133,14,1,139
2022-07-01,Programmatic,DV360,Profound intangible policy,04-02,17008.32,42,4,0,45
2022-07-01,Programmatic,DV360,Centralized modular throughput,05-02,68985.44,166,17,2,171
2022-07-01,Programmatic,DV360,Automated uniform software,06-02,40691.18,100,10,1,103
2022-07-01,Programmatic,DV360,Cross-platform static hierarchy,07-02,71208.41,176,18,2,188
2022-07-01,Programmatic,DV360,Networked value-added time-frame,08-02,77402.12,188,20,2,195
2022-07-08,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,227238.42,568,60,6,592
2022-07-08,Programmatic,DV360,Persistent 24/7 attitude,02-02,4339.44,11,1,0,11
2022-07-08,Programmatic,DV360,Integrated dedicated contingency,03-02,55356.22,135,14,1,141
2022-07-08,Programmatic,DV360,Profound intangible policy,04-02,17167.2,42,4,0,44
2022-07-08,Programmatic,DV360,Centralized modular throughput,05-02,69571.22,171,18,2,177
2022-07-08,Programmatic,DV360,Automated uniform software,06-02,40330.73,97,10,1,103
2022-07-08,Programmatic,DV360,Cross-platform static hierarchy,07-02,72432.76,172,18,2,182
2022-07-08,Programmatic,DV360,Networked value-added time-frame,08-02,76157.09,190,20,2,196
2022-07-15,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,152366.69,392,41,4,409
2022-07-15,Programmatic,DV360,Persistent 24/7 attitude,02-02,2894.4,7,1,0,7
2022-07-15,Programmatic,DV360,Integrated dedicated contingency,03-02,36114.34,91,10,1,95
2022-07-15,Programmatic,DV360,Profound intangible policy,04-02,11611.48,29,3,0,30
2022-07-15,Programmatic,DV360,Centralized modular throughput,05-02,47519.82,122,13,1,128
2022-07-15,Programmatic,DV360,Automated uniform software,06-02,26959.32,69,7,1,72
2022-07-15,Programmatic,DV360,Cross-platform static hierarchy,07-02,46825.96,119,13,1,123
2022-07-15,Programmatic,DV360,Networked value-added time-frame,08-02,51477.12,133,14,1,139
2022-07-22,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,155661.21,383,40,4,402
2022-07-22,Programmatic,DV360,Persistent 24/7 attitude,02-02,2888.59,7,1,0,8
2022-07-22,Programmatic,DV360,Integrated dedicated contingency,03-02,36762.9,91,10,1,95
2022-07-22,Programmatic,DV360,Profound intangible policy,04-02,11259.61,27,3,0,28
2022-07-22,Programmatic,DV360,Centralized modular throughput,05-02,46678.03,117,12,1,123
2022-07-22,Programmatic,DV360,Automated uniform software,06-02,27246.82,62,6,1,66
2022-07-22,Programmatic,DV360,Cross-platform static hierarchy,07-02,48134.46,115,12,1,119
2022-07-22,Programmatic,DV360,Networked value-added time-frame,08-02,50936.11,134,14,1,142
2022-07-29,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,154510.23,379,41,4,396
2022-07-29,Programmatic,DV360,Persistent 24/7 attitude,02-02,2915.56,7,1,0,7
2022-07-29,Programmatic,DV360,Integrated dedicated contingency,03-02,37352.84,93,10,1,96
2022-07-29,Programmatic,DV360,Profound intangible policy,04-02,11232.01,28,3,0,30
2022-07-29,Programmatic,DV360,Centralized modular throughput,05-02,46193.84,118,12,1,126
2022-07-29,Programmatic,DV360,Automated uniform software,06-02,26427.54,67,7,1,71
2022-07-29,Programmatic,DV360,Cross-platform static hierarchy,07-02,47833.53,117,12,1,121
2022-07-29,Programmatic,DV360,Networked value-added time-frame,08-02,50541.01,124,13,1,132
2022-08-05,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,167801.46,415,43,5,434
2022-08-05,Programmatic,DV360,Persistent 24/7 attitude,02-02,3155.68,7,1,0,8
2022-08-05,Programmatic,DV360,Integrated dedicated contingency,03-02,39682.19,96,10,1,102
2022-08-05,Programmatic,DV360,Profound intangible policy,04-02,12337.75,30,3,0,31
2022-08-05,Programmatic,DV360,Centralized modular throughput,05-02,52071.97,129,14,1,136
2022-08-05,Programmatic,DV360,Automated uniform software,06-02,28992.94,70,7,1,72
2022-08-05,Programmatic,DV360,Cross-platform static hierarchy,07-02,52570.73,135,14,1,140
2022-08-05,Programmatic,DV360,Networked value-added time-frame,08-02,56661.12,145,15,2,149
2022-08-12,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,168599.03,418,44,4,439
2022-08-12,Programmatic,DV360,Persistent 24/7 attitude,02-02,3180.34,7,1,0,8
2022-08-12,Programmatic,DV360,Integrated dedicated contingency,03-02,40408.0,99,11,1,103
2022-08-12,Programmatic,DV360,Profound intangible policy,04-02,12664.32,30,3,0,32
2022-08-12,Programmatic,DV360,Centralized modular throughput,05-02,51468.11,124,13,1,128
2022-08-12,Programmatic,DV360,Automated uniform software,06-02,28727.02,70,7,1,74
2022-08-12,Programmatic,DV360,Cross-platform static hierarchy,07-02,52381.83,133,14,1,140
2022-08-12,Programmatic,DV360,Networked value-added time-frame,08-02,56667.28,138,14,1,143
2022-08-19,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,167549.81,406,44,4,426
2022-08-19,Programmatic,DV360,Persistent 24/7 attitude,02-02,3158.19,8,1,0,8
2022-08-19,Programmatic,DV360,Integrated dedicated contingency,03-02,40507.33,103,11,1,109
2022-08-19,Programmatic,DV360,Profound intangible policy,04-02,12677.56,31,3,0,33
2022-08-19,Programmatic,DV360,Centralized modular throughput,05-02,50296.9,127,13,1,134
2022-08-19,Programmatic,DV360,Automated uniform software,06-02,28730.84,69,7,1,72
2022-08-19,Programmatic,DV360,Cross-platform static hierarchy,07-02,51519.01,127,13,1,134
2022-08-19,Programmatic,DV360,Networked value-added time-frame,08-02,56106.4,140,15,1,147
2022-08-26,Programmatic,DV360,Business-focused zero tolerance architecture,01-02,111543.7,275,29,3,292
2022-08-26,Programmatic,DV360,Persistent 24/7 attitude,02-02,2078.39,5,1,0,5
2022-08-26,Programmatic,DV360,Integrated dedicated contingency,03-02,26355.84,65,7,1,67
2022-08-26,Programmatic,DV360,Profound intangible policy,04-02,8238.67,21,2,0,22
2022-08-26,Programmatic,DV360,Centralized modular throughput,05-02,34139.25,89,9,1,93
2022-08-26,Programmatic,DV360,Automated uniform software,06-02,19847.91,51,5,0,53
2022-08-26,Programmatic,DV360,Cross-platform static hierarchy,07-02,34684.5,86,9,1,88
2022-08-26,Programmatic,DV360,Networked value-added time-frame,08-02,37182.4,87,9,1,93
2022-09-02,Programmatic,DV360,Business-focused zero tolerance architecture,01-03,180145.96,428,45,4,443
2022-09-02,Programmatic,DV360,Persistent 24/7 attitude,02-03,3455.59,9,1,0,9
2022-09-02,Programmatic,DV360,Integrated dedicated contingency,03-03,43999.06,109,11,1,116
2022-09-02,Programmatic,DV360,Profound intangible policy,04-03,13283.85,34,4,0,35
2022-09-02,Programmatic,DV360,Centralized modular throughput,05-03,56177.28,133,14,1,138
2022-09-02,Programmatic,DV360,Automated uniform software,06-03,31096.75,79,8,1,85
2022-09-02,Programmatic,DV360,Cross-platform static hierarchy,07-03,55236.14,135,14,1,142
2022-09-02,Programmatic,DV360,Networked value-added time-frame,08-03,61293.22,151,16,2,161
2022-09-09,Programmatic,DV360,Business-focused zero tolerance architecture,01-03,185029.33,450,47,5,464
2022-09-09,Programmatic,DV360,Persistent 24/7 attitude,02-03,3415.03,9,1,0,9
2022-09-09,Programmatic,DV360,Integrated dedicated contingency,03-03,43875.65,107,11,1,110
2022-09-09,Programmatic,DV360,Profound intangible policy,04-03,13285.14,33,3,0,34
2022-09-09,Programmatic,DV360,Centralized modular throughput,05-03,54533.73,131,14,1,137
2022-09-09,Programmatic,DV360,Automated uniform software,06-03,31796.13,80,8,1,84
2022-09-09,Programmatic,DV360,Cross-platform static hierarchy,07-03,55640.0,138,15,1,143
2022-09-09,Programmatic,DV360,Networked value-added time-frame,08-03,61312.03,153,16,2,162
2022-09-16,Programmatic,DV360,Business-focused zero tolerance architecture,01-03,271434.63,657,68,7,678
2022-09-16,Programmatic,DV360,Persistent 24/7 attitude,02-03,5262.06,13,1,0,14
2022-09-16,Programmatic,DV360,Integrated dedicated contingency,03-03,66044.0,162,17,2,167
2022-09-16,Programmatic,DV360,Profound intangible policy,04-03,20282.21,50,5,1,51
2022-09-16,Programmatic,DV360,Centralized modular throughput,05-03,81946.91,203,21,2,212
2022-09-16,Programmatic,DV360,Automated uniform software,06-03,46824.84,119,13,1,127
2022-09-16,Programmatic,DV360,Cross-platform static hierarchy,07-03,83256.44,210,22,2,218
2022-09-16,Programmatic,DV360,Networked value-added time-frame,08-03,92097.95,226,24,2,236
2022-09-23,Programmatic,DV360,Business-focused zero tolerance architecture,01-03,270341.56,643,68,7,685
2022-09-23,Programmatic,DV360,Persistent 24/7 attitude,02-03,5255.89,13,1,0,14
2022-09-23,Programmatic,DV360,Integrated dedicated contingency,03-03,65918.47,169,17,2,180
2022-09-23,Programmatic,DV360,Profound intangible policy,04-03,20255.62,48,5,0,49
2022-09-23,Programmatic,DV360,Centralized modular throughput,05-03,81434.42,206,22,2,220
2022-09-23,Programmatic,DV360,Automated uniform software,06-03,47946.54,117,12,1,123
2022-09-23,Programmatic,DV360,Cross-platform static hierarchy,07-03,84709.1,217,23,2,225
2022-09-23,Programmatic,DV360,Networked value-added time-frame,08-03,91825.4,223,23,2,232
2022-09-30,Programmatic,DV360,Business-focused zero tolerance architecture,01-03,268128.87,678,72,7,720
2022-09-30,Programmatic,DV360,Persistent 24/7 attitude,02-03,5264.75,13,1,0,13
